symbol,longName,industry,totalDebt_usd,Agency Rating
OMC,Omnicom Group Inc.,Advertising Agencies,"11,516,600,320",BBB+
CCO,"Clear Channel Outdoor Holdings, Inc.",Advertising Agencies,"6,442,229,760",CCC+
DNTUY,Dentsu Group Inc.,Advertising Agencies,"2,815,202,929",AA-
ZD,"Ziff Davis, Inc.",Advertising Agencies,"894,267,008",BB
APP,AppLovin Corp.,Advertising Agencies,,BBB
PUBGY,Publicis Groupe,Advertising Agencies,,BBB+
JCDXY,JCDecaux SE,Advertising Agencies,,BBB-
WPP,WPP plc,Advertising Agencies,,BBB
BA,The Boeing Company,Aerospace & Defense,"49,614,000,128",BBB-
TDG,TransDigm Group Incorporated,Aerospace & Defense,"32,003,000,320",BB-
GE,GE Aerospace,Aerospace & Defense,"21,321,000,960",A-
LMT,Lockheed Martin Corporation,Aerospace & Defense,"20,696,999,936",A-
NOC,Northrop Grumman Corporation,Aerospace & Defense,"17,574,000,640",BBB+
EADSY,Airbus SE,Aerospace & Defense,"16,805,075,843",A
BAESY,BAE Systems plc,Aerospace & Defense,"12,236,636,679",A-
GD,General Dynamics Corporation,Aerospace & Defense,"9,831,999,488",A
FINMY,Leonardo S.p.a.,Aerospace & Defense,"5,269,896,254",BBB
TXT,Textron Inc.,Aerospace & Defense,"4,215,000,064",BBB
RNMBY,Rheinmetall AG,Aerospace & Defense,"2,487,889,263",BBB+
CAE,CAE Inc.,Aerospace & Defense,"2,313,530,485",BBB-
BWXT,"BWX Technologies, Inc.",Aerospace & Defense,"2,017,945,984",BB
AIR,AAR Corp.,Aerospace & Defense,"979,699,968",BB
MOS,The Mosaic Company,Agricultural Inputs,"5,762,500,096",BBB
FMC,FMC Corporation,Agricultural Inputs,"4,656,600,064",BB+
CF,"CF Industries Holdings, Inc.",Agricultural Inputs,"3,620,000,000",BBB
ICL,ICL Group Ltd,Agricultural Inputs,"3,150,000,128",BBB-
SMG,The Scotts Miracle-Gro Company,Agricultural Inputs,"2,665,600,000",B+
NUFMF,Nufarm Limited,Agricultural Inputs,"720,868,454",B+
CTVA,Corteva Inc.,Agricultural Inputs,,A-
NTR,Nutrien Ltd.,Agricultural Inputs,,BBB
YARIY,Yara International ASA,Agricultural Inputs,,BBB
KPLUY,K+S Aktiengesellschaft,Agricultural Inputs,,BBB-
UAN,"CVR Partners, LP",Agricultural Inputs,,B+
AAL,American Airlines Group Inc.,Airlines,"34,892,001,280",B+
UAL,"United Airlines Holdings, Inc.",Airlines,"30,971,000,832",BB+
DAL,"Delta Air Lines, Inc.",Airlines,"21,398,999,040",BBB-
JBLU,JetBlue Airways Corporation,Airlines,"9,333,999,616",CCC+
ACDVF,Air Canada,Airlines,"8,799,312,716",BB
ALK,"Alaska Air Group, Inc.",Airlines,"6,668,000,256",BB-
LUV,Southwest Airlines Co.,Airlines,"6,396,000,256",BBB
QUBSF,Qantas Airways Limited,Airlines,"5,766,969,844",BBB-
ALGT,Allegiant Travel Company,Airlines,"1,853,789,952",B+
AGZNF,Aegean Airlines S.A.,Airlines,"1,748,442,988",AA
RYAAY,Ryanair Holdings plc,Airlines,"1,720,299,965",BBB+
AA,Alcoa Corporation,Aluminum,"2,551,000,064",BB+
CSTM,Constellium SE,Aluminum,"1,972,999,936",BB-
KALU,Kaiser Aluminum Corporation,Aluminum,"1,069,600,000",BB-
CENX,Century Aluminum Company,Aluminum,"545,900,032",B
NORNQ,Noranda Aluminum Holding Corporation,Aluminum,,B-
NHYKF,Norsk Hydro,Aluminum,,BBB
VFC,V.F. Corporation,Apparel Manufacturing,"4,983,353,856",BB
PVH,PVH Corp.,Apparel Manufacturing,"4,225,999,872",BBB
RL,Ralph Lauren Corporation,Apparel Manufacturing,"3,009,400,064",A-
LEVI,Levi Strauss & Co.,Apparel Manufacturing,"2,317,600,000",BB+
COLM,Columbia Sportswear Company,Apparel Manufacturing,"472,568,000",A-
GIL,Gildan Activewear Inc.,Apparel Manufacturing,,BBB-
UAA,"Under Armour, Inc.",Apparel Manufacturing,,BB-
BSDGY,Bosideng International Holdings Limited,Apparel Manufacturing,,BBB-
KTB,"Kontoor Brands, Inc.",Apparel Manufacturing,,BB
BOSSY,Hugo Boss AG,Apparel Manufacturing,,BBB-
GOOS,Canada Goose,Apparel Manufacturing,,BB-
TJX,"The TJX Companies, Inc.",Apparel Retail,"14,179,999,744",A
ROST,"Ross Stores, Inc.",Apparel Retail,"4,723,149,824",A-
FRCOY,"Fast Retailing Co., Ltd.",Apparel Retail,"4,286,565,140",A+
ANF,Abercrombie & Fitch Co.,Apparel Retail,"1,292,477,056",BB
CRI,"Carter's, Inc.",Apparel Retail,"1,196,312,960",BB+
CAL,"Caleres, Inc.",Apparel Retail,"949,283,968",BB-
BURL,"Burlington Stores, Inc.",Apparel Retail,,BB+
GAP,"The Gap, Inc.",Apparel Retail,,BB+
VSXY,Victoria's Secret & Co.,Apparel Retail,,BB-
NXGPF,NEXT plc,Apparel Retail,,BBB
TM,Toyota Motor Corporation,Auto Manufacturers,"269,156,066,606",A+
F,Ford Motor Company,Auto Manufacturers,"159,511,003,136",BBB-
GM,General Motors Company,Auto Manufacturers,"128,773,996,544",BBB
HMC,"Honda Motor Co., Ltd.",Auto Manufacturers,"85,946,851,987",BBB+
STLA,Stellantis N.V.,Auto Manufacturers,"55,291,810,924",BBB-
TSLA,"Tesla, Inc.",Auto Manufacturers,"15,889,999,872",BBB
YMHAY,Yamaha Motor Co.,Auto Manufacturers,,BBB+
MZDAF,Mazda Motor Corp,Auto Manufacturers,,BBB+
ISUZF,Isuzu Motors Limited,Auto Manufacturers,,A-
MMTOY,Mitsubishi Motors Corporation,Auto Manufacturers,,BB+
VWAGY,Volkswagen AG,Auto Manufacturers,,BBB+
BMWKY,Bayerische Motoren Werke Aktiengesellschaft,Auto Manufacturers,,A
MBGYY,Mercedes-Benz Group AG,Auto Manufacturers,,A
RNLSY,Renault SA,Auto Manufacturers,,BBB-
GELHY,Geely Automobile Holdings Limited,Auto Manufacturers,,BBB-
NFYEF,NFI Group Inc.,Auto Manufacturers,,BB-
PGGCY,Piaggio & C. SpA,Auto Manufacturers,,BB-
LAD,"Lithia Motors, Inc.",Auto & Truck Dealerships,,BB+
AN,"AutoNation, Inc.",Auto & Truck Dealerships,,BBB-
PAG,Penske Automotive Group,Auto & Truck Dealerships,,BB+
GPI,"Group 1 Automotive, Inc.",Auto & Truck Dealerships,,BB+
ABG,"Asbury Automotive Group, Inc.",Auto & Truck Dealerships,,BB+
SAH,"Sonic Automotive, Inc.",Auto & Truck Dealerships,,BB
CWH,"Camping World Holdings, Inc.",Auto & Truck Dealerships,,B
IHCPF,Inchcape plc,Auto & Truck Dealerships,,BBB
